
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2A:23:51:A6:25:CC, 2025-04-13 01:47:56, 2025-04-13 02:36:42,  6, 195, WPA2, CCMP, PSK, -71,      106,        0,   0.  0.  0.  0,   0, , 
2E:23:51:A6:25:CC, 2025-04-13 01:49:04, 2025-04-13 02:36:42,  6, 195, OPN, ,   , -74,      106,        0,   0.  0.  0.  0,  11, Amity-event, 
D8:44:89:D4:FA:B4, 2025-04-13 01:49:51, 2025-04-13 02:36:41, 11, 195, OPN, ,   , -75,       25,        0,   0.  0.  0.  0,  10, Amity-wifi, 
2A:23:51:A6:25:AC, 2025-04-13 01:47:21, 2025-04-13 02:36:40,  6, 195, WPA2, CCMP, PSK, -75,       31,        0,   0.  0.  0.  0,   0, , 
DE:44:89:D4:FB:36, 2025-04-13 02:19:36, 2025-04-13 02:36:40,  6, 195, OPN, ,   , -81,       17,        0,   0.  0.  0.  0,  11, Amity-Guest, 
E6:44:89:D5:02:DE, 2025-04-13 01:50:06, 2025-04-13 02:36:31, 11, 195, OPN, ,   , -74,       39,        0,   0.  0.  0.  0,  11, Amity-event, 
D8:44:89:D5:02:DE, 2025-04-13 01:48:16, 2025-04-13 02:36:27, 11, 195, OPN, ,   , -74,       32,        0,   0.  0.  0.  0,  10, Amity-wifi, 
DE:44:89:D5:04:CC, 2025-04-13 02:02:38, 2025-04-13 02:37:04,  1, 195, OPN, ,   , -81,       28,        0,   0.  0.  0.  0,  11, Amity-Guest, 
DE:44:89:D5:02:DE, 2025-04-13 01:50:19, 2025-04-13 02:36:27, 11, 195, OPN, ,   , -76,       23,        0,   0.  0.  0.  0,  11, Amity-Guest, 
4A:AE:30:56:30:2A, 2025-04-13 02:11:09, 2025-04-13 02:36:30,  6, 195, WPA2, CCMP, PSK, -77,       11,        0,   0.  0.  0.  0,   0, , 
E6:44:89:D4:FB:36, 2025-04-13 02:25:33, 2025-04-13 02:36:30,  6, 195, OPN, ,   , -78,       18,        0,   0.  0.  0.  0,  11, Amity-event, 
4A:AE:30:56:31:70, 2025-04-13 02:24:36, 2025-04-13 02:36:28,  6, 195, WPA2, CCMP, PSK, -82,        7,        0,   0.  0.  0.  0,   0, , 
46:AE:30:56:31:70, 2025-04-13 02:04:07, 2025-04-13 02:36:28,  6, 195, OPN, ,   , -82,        9,        0,   0.  0.  0.  0,  11, Amity-Guest, 
D8:44:89:D4:FA:86, 2025-04-13 02:07:58, 2025-04-13 02:36:29,  1, 195, OPN, ,   , -85,       23,        0,   0.  0.  0.  0,  10, Amity-wifi, 
20:23:51:A6:25:BA, 2025-04-13 01:47:22, 2025-04-13 02:36:18,  1, 195, OPN, ,   , -76,       31,       21,  10.  2. 99.163,  10, Amity-wifi, 
D8:44:89:D4:FB:36, 2025-04-13 02:15:24, 2025-04-13 02:36:17,  6, 195, OPN, ,   , -76,       12,        0,   0.  0.  0.  0,  10, Amity-wifi, 
